number,입주형태,입주기간,코로나영향,환경개선여부,유치시설1,유치시설2,유치시설3,정화시설,위치규모,비용,환경,인력,행정,시설,교류,인지여부,입주후매출,입주후고용,입주후절감
151 ,1 ,3 ,2 ,3 ,1 ,5 ,,3 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,2 
152 ,2 ,2 ,4 ,3 ,5 ,2 ,3 ,2 ,2 ,2 ,2 ,3 ,3 ,2 ,3 ,1 ,3 ,2 ,3 
153 ,2 ,3 ,1 ,3 ,5 ,1 ,2 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 
154 ,1 ,3 ,1 ,3 ,1 ,5 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,2 
155 ,1 ,1 ,2 ,3 ,5 ,3 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,1 ,2 ,2 ,3 
156 ,1 ,1 ,2 ,4 ,1 ,2 ,4 ,5 ,5 ,5 ,2 ,5 ,5 ,5 ,5 ,1 ,3 ,2 ,2 
157 ,1 ,1 ,1 ,4 ,5 ,1 ,2 ,2 ,5 ,2 ,2 ,5 ,2 ,2 ,5 ,1 ,2 ,2 ,3 
160 ,1 ,1 ,4 ,3 ,5 ,,,3 ,2 ,3 ,2 ,3 ,3 ,3 ,3 ,2 ,3 ,2 ,3 
162 ,1 ,1 ,1 ,4 ,5 ,4 ,3 ,2 ,5 ,5 ,5 ,5 ,3 ,5 ,2 ,1 ,2 ,2 ,3 
163 ,1 ,1 ,2 ,4 ,5 ,,,3 ,2 ,2 ,3 ,2 ,2 ,3 ,2 ,1 ,3 ,2 ,2 
164 ,1 ,2 ,3 ,3 ,,,,2 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,1 ,3 ,3 ,3 
165 ,2 ,2 ,2 ,4 ,5 ,2 ,4 ,2 ,2 ,3 ,2 ,2 ,2 ,3 ,3 ,1 ,3 ,3 ,3 
166 ,1 ,2 ,2 ,4 ,4 ,2 ,5 ,2 ,2 ,3 ,3 ,2 ,2 ,5 ,3 ,2 ,2 ,2 ,3 
167 ,1 ,2 ,3 ,3 ,5 ,1 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,3 ,3 ,3 
