700M,,,,,1KM,,,,,2KM,,,,
==========[ 마트 ] ==========,,,,,==========[ 마트 ] ==========,,,,,==========[ 마트 ] ==========,,,,
검색어 :  세탁소 개수 :  12,,, 12, 12,검색어 :  세탁소 개수 :  23,,, 23, 23,검색어 :  세탁소 개수 :  42,,, 42, 42
검색어 :  세탁소 개수 :  3,,,  3,  3,검색어 :  세탁소 개수 :  7,,,  7,  7,검색어 :  세탁소 개수 :  25,,, 25, 25
검색어 :  세탁소 개수 :  2,,,  2,  2,검색어 :  세탁소 개수 :  17,,, 17, 17,검색어 :  세탁소 개수 :  65,,, 65, 65
검색어 :  세탁소 개수 :  0,,,  0,  0,검색어 :  세탁소 개수 :  0,,,  0,  0,검색어 :  세탁소 개수 :  8,,,  8,  8
검색어 :  세탁소 개수 :  0,,,  0,  0,검색어 :  세탁소 개수 :  0,,,  0,  0,검색어 :  세탁소 개수 :  1,,,  1,  1
검색어 :  세탁소 개수 :  3,,,  3,  3,검색어 :  세탁소 개수 :  9,,,  9,  9,검색어 :  세탁소 개수 :  44,,, 44, 44
==========[ 체육시설 ] ==========,,,===,===,==========[ 체육시설 ] ==========,,,===,===,==========[ 체육시설 ] ==========,,,===,===
검색어 :  체육시설 개수 :  1,,,  1,  1,검색어 :  체육시설 개수 :  1,,,  1,  1,검색어 :  체육시설 개수 :  35,,, 35, 35
검색어 :  체육시설 개수 :  4,,,  4,  4,검색어 :  체육시설 개수 :  6,,,  6,  6,검색어 :  체육시설 개수 :  38,,, 38, 38
검색어 :  체육시설 개수 :  2,,,  2,  2,검색어 :  체육시설 개수 :  2,,,  2,  2,검색어 :  체육시설 개수 :  4,,,  4,  4
검색어 :  체육시설 개수 :  1,,,  1,  1,검색어 :  체육시설 개수 :  1,,,  1,  1,검색어 :  체육시설 개수 :  10,,, 10, 10
검색어 :  체육시설 개수 :  26,,, 26, 26,검색어 :  체육시설 개수 :  31,,, 31, 31,검색어 :  체육시설 개수 :  54,,, 54, 54
검색어 :  체육시설 개수 :  1,,,  1,  1,검색어 :  체육시설 개수 :  1,,,  1,  1,검색어 :  체육시설 개수 :  27,,, 27, 27
검색어 :  체육시설 개수 :  3,,,  3,  3,검색어 :  체육시설 개수 :  7,,,  7,  7,검색어 :  체육시설 개수 :  36,,, 36, 36
검색어 :  체육시설 개수 :  1,,,  1,  1,검색어 :  체육시설 개수 :  1,,,  1,  1,검색어 :  체육시설 개수 :  10,,, 10, 10
