에픽디자인,인천 ,(주)에픽디자인그룹,"설립일                            2016년 10월 26일                                (업력 6년)대표자명이주용업종전시, 컨벤션 및 행사 대행업기업주소경기 남양주시 두물로11번길 12-12, 5층 51호",중소기업,업력 7년차
엠제이컴퍼니,인천 ,(주)엠제이컴퍼니,"설립일                            2000년 02월 26일                                (업력 22년)대표자명노태석업종근무복, 작업복 및 유사의복 제조업재무정보매출액 50억원▲영업이익 5000만원▲(2017년 기준)전체평균연봉4500만원▲                                                            (2017년 기준)전체기업주소서울 서초구 반포대로18길 36, 201동 712호","53억 4,837만원",중소기업
영동개발,인천 ,영동자원산업개발,"대표자명임형재업종재생용 재료 수집 및 판매업재무정보매출액 50억원▲영업이익 2억원▲(2019년 기준)전체기업주소경기 고양시 일산동구 은마길185번길 106, 외 2필지","54억 4,435만원",10명
원진3D,인천 ,원진3D에 대한 검색결과 없음,원진3D에 대한 검색결과 없음,원진3D에 대한 검색결과 없음,원진3D에 대한 검색결과 없음
유니온일렉스,인천 ,유니온일렉스에 대한 검색결과 없음,유니온일렉스에 대한 검색결과 없음,유니온일렉스에 대한 검색결과 없음,유니온일렉스에 대한 검색결과 없음
이랑이랑,인천 ,(주)다이랑씨엠,설립일                            2007년 02월 27일                                (업력 15년)대표자명문덕용업종커피 및 차류 도매업재무정보매출액 25억원▲(2021년 기준)전체평균연봉3500만원▲                                                            (2021년 기준)전체기업주소경남 김해시 전하로198번길 70,"26억 3,930만원",4명
제이에이(JA)인더스트리,인천 ,제이에이(JA)인더스트리에 대한 검색결과 없음,제이에이(JA)인더스트리에 대한 검색결과 없음,제이에이(JA)인더스트리에 대한 검색결과 없음,제이에이(JA)인더스트리에 대한 검색결과 없음
제이와이텍,인천 ,(주)제이와이텍,"설립일                            2011년 06월 21일                                (업력 11년)대표자명이준희업종그 외 기타 특수목적용 기계 제조업재무정보매출액 15억원▲영업이익 3억원▲(2017년 기준)전체기업주소경기 시흥시 마유로132번길 50, 706호","17억 4,028만원",2명
주식회사 명진기계산업,인천 ,주식회사 명진기계산업에 대한 검색결과 없음,주식회사 명진기계산업에 대한 검색결과 없음,주식회사 명진기계산업에 대한 검색결과 없음,주식회사 명진기계산업에 대한 검색결과 없음
주식회사 케이원엔터테크,인천 ,주식회사 케이원엔터테크에 대한 검색결과 없음,주식회사 케이원엔터테크에 대한 검색결과 없음,주식회사 케이원엔터테크에 대한 검색결과 없음,주식회사 케이원엔터테크에 대한 검색결과 없음
주현테크,인천 ,주현테크(주),설립일                            2017년 02월 08일                                (업력 5년)대표자명이정안업종자동차용 금속 압형제품 제조업재무정보매출액 25억원▲영업이익 2억원▲(2020년 기준)전체평균연봉3500만원▲                                                            (2020년 기준)전체기업주소전북 완주군 봉동읍 우동로 70,"25억 2,638만원",5명
케이비(KB)컨설팅,인천 ,케이비엔티한국비즈테크컨설팅(주),"대표자명김지환업종공작용 기계 및 장비 도매업재무정보매출액 10억원▲영업이익 5000만원▲(2015년 기준)전체기업주소서울 강남구 테헤란로33길 11, A동 3층 03호","11억 8,550만원",중소기업
코끼리노리터,인천 ,코끼리노리터에 대한 검색결과 없음,코끼리노리터에 대한 검색결과 없음,코끼리노리터에 대한 검색결과 없음,코끼리노리터에 대한 검색결과 없음
