basDt,bizYear,crno,enpBzopPft,enpCptlAmt,enpCrtmNpf,enpSaleAmt,enpTastAmt,enpTcptAmt,enpTdbtAmt,fnclDcd,fnclDcdNm,fnclDebtRto,iclsPalClcAmt
20161231,2016,1101114772607,18161,500000,14496,1035360,899235,468078,431157,120,요약별도재무정보,92.1122120672,14935
20181231,2018,1101114772607,122615,500000,120386,1139779,1023647,755705,267942,120,요약별도재무정보,35.4558987964,120386
20161231,2016,1101114224723,-41411,100000,-41688,264184,158479,-40824,199303,120,요약별도재무정보,-488.2005682931,-41688
20171231,2017,1101114224723,14602,100000,14342,415741,80155,-26482,106637,120,요약별도재무정보,-402.6772902348,14342
20181231,2018,1101114224723,25535,100000,18938,275225,125064,-7543,132607,120,요약별도재무정보,-1758.0140527641,18938
20191231,2019,1101114224723,224215,100000,214043,453700,249042,206500,42542,120,요약별도재무정보,20.6014527845,224290
20181231,2018,1311110513084,12704,20000,12843,177649,323343,32843,290500,120,요약별도재무정보,884.5111591511,12843
20191231,2019,1311110513084,-30990,20000,-2858,284746,316521,29985,286536,120,요약별도재무정보,955.5977988994,-2858
20201231,2020,1311110513084,-30441,20000,-19282,329312,333136,10704,322432,120,요약별도재무정보,3012.2571001494,-19282
20161231,2016,1342110166309,135,80,124,2209,563,242,321,110,요약연결재무제표,132.64,135
20171231,2017,1342110166309,167,80,155,1662,682,397,285,110,요약연결재무제표,71.79,167
20181231,2018,1342110166309,127582,80000,116597,1934163,1465630,513834,951796,120,요약별도재무정보,185.2341417656,131136
20191231,2019,1342110166309,178248,280000,171418,1948977,2082689,885251,1197438,120,요약별도재무정보,135.2653654161,180690
20201231,2020,1342110166309,183333,280000,179490,1982950,6095641,1064741,5030900,120,요약별도재무정보,472.4998849485,195701
20181231,2018,1342110189096,4984,30000,3312,236530,100226,59747,40479,120,요약별도재무정보,67.7506820426,3726
20191231,2019,1342110189096,32150,30000,27814,396486,145363,87561,57802,120,요약별도재무정보,66.0134077957,31255
20201231,2020,1342110189096,7822,30000,7590,444609,191657,95151,96506,120,요약별도재무정보,101.4240522958,8680
20171231,2017,1311110466275,46035,150000,50310,1056824,333013,193674,139339,120,요약별도재무정보,71.945124281,50310
20181231,2018,1311110466275,-2766,200000,54975,1077590,760711,398649,362062,120,요약별도재무정보,90.8222521566,58743
20191231,2019,1311110466275,138504,200000,182923,2641260,894550,581572,312978,120,요약별도재무정보,53.8158645877,183586
